Iteracao,Tempo(ns),Nome,Paradigma,Quantidade_Threads
368,65683725,Dracula-165307,Paralelo-GPU,4
369,65135610,Dracula-165307,Paralelo-GPU,4
370,78067162,Dracula-165307,Paralelo-GPU,4
371,68163648,Dracula-165307,Paralelo-GPU,4
372,89993691,Dracula-165307,Paralelo-GPU,4
373,83997037,Dracula-165307,Paralelo-GPU,4
374,65437734,Dracula-165307,Paralelo-GPU,4
375,63766579,Dracula-165307,Paralelo-GPU,4
376,62015488,Dracula-165307,Paralelo-GPU,4
377,69346580,Dracula-165307,Paralelo-GPU,4
378,80014605,Dracula-165307,Paralelo-GPU,4
379,66203765,Dracula-165307,Paralelo-GPU,4
380,63755381,Dracula-165307,Paralelo-GPU,4
381,70913019,Dracula-165307,Paralelo-GPU,4
382,65703694,Dracula-165307,Paralelo-GPU,4
383,63263339,Dracula-165307,Paralelo-GPU,4
384,71640974,Dracula-165307,Paralelo-GPU,4
385,65435484,Dracula-165307,Paralelo-GPU,4
386,63344088,Dracula-165307,Paralelo-GPU,4
387,64336342,Dracula-165307,Paralelo-GPU,4
388,66262945,Dracula-165307,Paralelo-GPU,4
389,62777144,Dracula-165307,Paralelo-GPU,4
390,65772626,Dracula-165307,Paralelo-GPU,4
391,60884427,Dracula-165307,Paralelo-GPU,4
392,63428744,Dracula-165307,Paralelo-GPU,4
393,61317212,Dracula-165307,Paralelo-GPU,4
394,62385871,Dracula-165307,Paralelo-GPU,4
395,61598635,Dracula-165307,Paralelo-GPU,4
396,64672883,Dracula-165307,Paralelo-GPU,4
397,64879819,Dracula-165307,Paralelo-GPU,4
398,67191913,Dracula-165307,Paralelo-GPU,4
399,77148975,Dracula-165307,Paralelo-GPU,4
400,64789193,Dracula-165307,Paralelo-GPU,4
401,62129860,Dracula-165307,Paralelo-GPU,4
402,61974503,Dracula-165307,Paralelo-GPU,4
403,74817919,Dracula-165307,Paralelo-GPU,4
404,67707109,Dracula-165307,Paralelo-GPU,4
405,67768182,Dracula-165307,Paralelo-GPU,4
406,65418467,Dracula-165307,Paralelo-GPU,4
407,63750741,Dracula-165307,Paralelo-GPU,4
408,62021246,Dracula-165307,Paralelo-GPU,4
409,60436781,Dracula-165307,Paralelo-GPU,4
410,65663072,Dracula-165307,Paralelo-GPU,4
411,65193758,Dracula-165307,Paralelo-GPU,4
412,79537729,Dracula-165307,Paralelo-GPU,4
413,71021353,Dracula-165307,Paralelo-GPU,4
414,73612216,Dracula-165307,Paralelo-GPU,4
415,63917887,Dracula-165307,Paralelo-GPU,4
416,76007181,Dracula-165307,Paralelo-GPU,4
417,72823382,Dracula-165307,Paralelo-GPU,4
418,64767384,Dracula-165307,Paralelo-GPU,4
419,68458623,Dracula-165307,Paralelo-GPU,4
420,90657759,Dracula-165307,Paralelo-GPU,4
421,112905180,Dracula-165307,Paralelo-GPU,4
422,79243712,Dracula-165307,Paralelo-GPU,4
423,88958815,Dracula-165307,Paralelo-GPU,4
424,77113545,Dracula-165307,Paralelo-GPU,4
425,64340088,Dracula-165307,Paralelo-GPU,4
426,65806170,Dracula-165307,Paralelo-GPU,4
427,82817220,Dracula-165307,Paralelo-GPU,4
428,66042177,Dracula-165307,Paralelo-GPU,4
429,68158391,Dracula-165307,Paralelo-GPU,4
430,74106904,Dracula-165307,Paralelo-GPU,4
431,71244911,Dracula-165307,Paralelo-GPU,4
432,62630290,Dracula-165307,Paralelo-GPU,4
433,62525596,Dracula-165307,Paralelo-GPU,4
434,67828020,Dracula-165307,Paralelo-GPU,4
435,62793190,Dracula-165307,Paralelo-GPU,4
436,60912884,Dracula-165307,Paralelo-GPU,4
437,64443056,Dracula-165307,Paralelo-GPU,4
438,70096615,Dracula-165307,Paralelo-GPU,4
439,83939115,Dracula-165307,Paralelo-GPU,4
440,128765691,Dracula-165307,Paralelo-GPU,4
441,99110690,Dracula-165307,Paralelo-GPU,4
442,89555370,Dracula-165307,Paralelo-GPU,4
443,83132965,Dracula-165307,Paralelo-GPU,4
444,83603561,Dracula-165307,Paralelo-GPU,4
445,77247443,Dracula-165307,Paralelo-GPU,4
446,73124772,Dracula-165307,Paralelo-GPU,4
447,120163438,Dracula-165307,Paralelo-GPU,4
448,196047127,Dracula-165307,Paralelo-GPU,4
449,168533570,Dracula-165307,Paralelo-GPU,4
450,148893532,Dracula-165307,Paralelo-GPU,4
451,158947720,Dracula-165307,Paralelo-GPU,4
452,104788642,Dracula-165307,Paralelo-GPU,4
453,89426598,Dracula-165307,Paralelo-GPU,4
454,91033864,Dracula-165307,Paralelo-GPU,4
455,73425132,Dracula-165307,Paralelo-GPU,4
456,66850796,Dracula-165307,Paralelo-GPU,4
457,148967185,Dracula-165307,Paralelo-GPU,4
458,107804860,Dracula-165307,Paralelo-GPU,4
459,113325073,Dracula-165307,Paralelo-GPU,4
460,122891789,Dracula-165307,Paralelo-GPU,4
